username,userid,profile_location,created_at,text,retweet_count,source
아모니/젠취,992326948578734080,,2018-05-04 08:55:55,"RT @ppapper: 친한 형 아들이 초등학생인데 과제로 교실에 소규모 인터넷을 구성하는 걸 진행중인데 -마침 코로나로 학교에 사람도 없어서- 랜케이블도 깔아보고 장비도 연결해보고 그런걸 하는데 아빠를 비롯한 나, 형 친구들과 온갖 무뢰배들이 모여…",291,Twitter Web App
ป.เปรี้ยว,1301177895797260290,,2020-09-02 15:20:46,"RT @bbrightlove: 코로나로 체육관을 못가니 집에서 열심히  운동중이구나..아~브라잇..보고 있어도 보고싶다 ㅜㅜ😭😭😭😭😭😭😭😭😭
#bbrightvc https://t.co/MM2F7wHTB5",24,Twitter for Android
방지거,1234174471944077314,,2020-03-01 17:51:48,RT @james_bond_ny: 우리 인간적으로 고일석 기자의 제안대로 합시다. 지금까지 코로나 방역 방해와 백신 접종 불신 일조하는데 힘을 쏟았던 국힘과 지지세력 그리고 조중동을 비롯한 기레기들은 백신접종 포기각서를 작성하고 정상적인 국민에게 양…,36,Twitter for Android
플루메리아,912053435662442496,,2017-09-24 20:37:39,"'새활용(업사이클)'이란 단순히 재사용하는 재활용(리사이클)과 달리 버려지는 물건에 디자인과 아이디어를 더해 새로운 고부가가치 제품을 만들어내는 것, 코로나로 인해 일회용기 사용이 폭발적으로 증가하는 시대에… https://t.co/L7P61AVsYU",0,Twitter Web App
🎗클라우디아🌱지치지않아🙏다시는 외롭게 두지않는다💙,1054758841,,2013-01-02 10:35:39,"RT @mooon111100: 4월 서비스 생산·소비 역대 최고.. 코로나 충격 벗어나나 

흐미~
다른 나라들은 아직도 경제, 방역 
모두 막지도 회복도 안돼서 난리인데, 이게 다 문재인 대통령님 덕분이여라~👍👏 https://t.co/CKxfkv…",55,Twitter for Android
이부장,2228960492,대한민국 중구,2013-12-03 22:57:46,RT @james_bond_ny: 우리 인간적으로 고일석 기자의 제안대로 합시다. 지금까지 코로나 방역 방해와 백신 접종 불신 일조하는데 힘을 쏟았던 국힘과 지지세력 그리고 조중동을 비롯한 기레기들은 백신접종 포기각서를 작성하고 정상적인 국민에게 양…,36,Twitter for Android
불성클래식하실분,272348952,,2011-03-26 09:59:32,"RT @daknews10: 홈플러스, 코로나 백신 맞으면 이틀 휴가 준다 https://t.co/Sg1diUJQ0c",26,TweetDeck
멸치는 볶음이지!,962149538,,2012-11-21 10:25:00,"코로나 때문에 업계 상황이 좋지 않다고...여하튼. 마스크를 쓰고 있어야지. 물론 안경도 쓰고. 머리도 흐트러짐 없게, 소공녀 세라의 민틴 선생님 처럼 칼 같이 틀어올리겠다.",0,Twitter for Android
LaRun,2495842202,,2014-05-15 07:14:13,"워프레임 근황
- 지들 게임컨셉 잊어버리고 갑자기 씹덕캐릭터 출시함
- 3년동안 출시연기한 메인시나리오를 이제야 모션캡처 시작함(=지금까지 개발안함)
- 요즘 다들 현생을 열심히 살고있음 근데 코로나때문에 개발속도는 더딤 ㅎ",0,Twitter for Android
BAE YONGJOO,95000585,,2009-12-06 13:42:42,"RT @hwaga_story: - 이재명 중대본 회의 343회 중 3회 참석
- 코로나 자가격리 4회째

민주당은 이재명 제명으로 격리시켜라!!!",94,Twitter for iPhone
양도,998537924890128384,대리와 동일하게 공연 취소연기시 티켓원금만 환불드립니다,2018-05-21 12:16:08,"미스터트롯 고양 양도합니다
2석기준

8/29 일 14:00 1회차
F1구역 12~13열 연석 +3

8/29 일 19:30 2회차
F1구역 18~19열 연석 +2

코로나 취소시 우측금은 환불불가
배송지변경
디엠주세요",0,Twitter for Android
필범부,871978562,,2012-10-10 15:18:30,RT @only_the_moon_: @withmoonpa 고추점 자가검사도한 놈인데 코로나 지가격리 쯤이야...🙄,5,Twitter for Android
🌙(her버her버).한.나,1173228405203947521,,2019-09-15 13:34:08,"RT @lp_list: 부대가 선임해준 국선변호인은 코로나 격리 때문에 못온다는 말만 할 뿐 아무 대책도 마련해주지 않았고, 피해자 조사때 조차 동행해주지 않았습니다.",26,Twitter for Android
shyoon,254763723,,2011-02-19 23:39:52,"RT @ecolibertas: 베트남 정부가 삼성을 비롯한 투자 기업들에게 직원들에게 접종할 백신을 구하도록 요구하고 있다 - 블룸버그

이미 베트남 정부는 회사들에게 직원들의 코로나19 검사 비용을 부담시키고 있으며, 이제 백신도 회사들이 구해올…",44,Twitter for iPhone
