username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
연합뉴스TV,/channel/UCTHCOPwqNfZ0uiKOvFyhGwg,'이태원 클럽발' 軍코로나19 확진자 8명으로 늘어 / 연합뉴스TV (YonhapnewsTV),690,690 views,/watch?v=_EISfTEMkOo,,2021-04-17 13:28:29.469781
연합뉴스TV,/channel/UCTHCOPwqNfZ0uiKOvFyhGwg,[뉴스프리즘] 이태원 클럽발 코로나19에 다시 멈춰선 한국 / 연합뉴스TV (YonhapnewsTV),1.4K,1.4K views,/watch?v=izUIvb0XeKY,,2021-04-17 13:28:29.471111
국민의소리TV국민BIZ TV,/channel/UC8F1gvPqfB1YqP4LW5XLsXA,국방부 사이버사령부하사 코로나19 확진 이태원클럽방문 용인66번환자동선 겹쳐 국민의소리TV 이소미기자,53,53 views,/watch?v=HDdBFIp5810,,2021-04-17 13:28:29.472387
YTN news,/user/ytnnews24,이태원 클럽 관련 추가 확진...전국 곳곳에서 확진자 속출 / YTN,39K,39K views,/watch?v=RcGvTeKCzcY,,2021-04-17 13:28:29.473615
JTBC News,/user/JTBC10news,"박원순 ""이태원 클럽 방문자 3천명 연락두절…'자택 추적' 불사"" / JTBC 뉴스ON",2.3K,2.3K views,/watch?v=-pcO2em__-Q,,2021-04-17 13:28:29.474946
YTN news,/user/ytnnews24,이태원 클럽 집단감염 환자 100명 넘어...2차 감염도 29명 / YTN,4K,4K views,/watch?v=ct9X-740lHk,,2021-04-17 13:28:29.476170
채널A 뉴스,/user/tvchanews,이태원 클럽 관련 확진자 106명…진앙지 또 있다 | 뉴스A,175K,175K views,/watch?v=96t7hl1KE90,,2021-04-17 13:28:29.477274
YTN news,/user/ytnnews24,[뉴스큐] 이태원 클럽발 확진자 90명 육박...코로나19 재확산 불씨 되나? / YTN,30K,30K views,/watch?v=sJhCOJlxq_U,,2021-04-17 13:28:29.478370
MBCNEWS,/user/MBCnews,'이 시각 이태원' 클럽은 닫았지만 인파에 초긴장 (2020.10.31/뉴스데스크/MBC),6K,6K views,/watch?v=v0P_uOjlRH0,,2021-04-17 13:28:29.479405
KBS News,/user/NewsKBS,이태원 클럽 관련 확진자 100명 넘어…“방심하면 폭발적 감염” / KBS뉴스(News),1K,1K views,/watch?v=4S0NhzkM_SY,,2021-04-17 13:28:29.480432
세계일보,/channel/UCzwT19hkdAkZIil8WdgzdgA,쿠팡 부천물류센터서 이태원 클럽발 5차 추정 코로나19 확진자 발생,1.5K,1.5K views,/watch?v=og_9oN09XYA,,2021-04-17 13:28:29.481391
DESORDRE CHANNEL,/channel/UC6pCQKDcDreVnEVi7cAsm9g,이태원 게이클럽 용인66번 확진자 다녀간 그날 내부 영상,439K,439K views,/watch?v=6H7_EU8voFk,,2021-04-17 13:28:29.482597
JTBC News,/user/JTBC10news,"'이태원발 코로나' 이전부터 확산 가능성…""감염원 한 명 아닐 수도""/ JTBC News",1.4K,1.4K views,/watch?v=vN_1mPqexGQ,,2021-04-17 13:28:29.483923
